isolate_id,sample_accession,country_name,region,specimen_category,collection_year,country_raw,collection_site,collection_date,isolation_source,host,scientific_name,study_accession,center_name
ERR038266,SAMEA961575,United Kingdom,Midlands,,2007,United Kingdom,,2007,not known,Homo sapiens,Mycobacterium tuberculosis,PRJEB2221,Wellcome Sanger Institute;SC
ERR038736,SAMEA787739,Uganda,Kampala,respiratory,2004,Uganda,,2004-11-01,sputum,Homo sapiens,Mycobacterium tuberculosis,PRJEB2424,Wellcome Sanger Institute;SC
ERR038737,SAMEA787740,Uganda,Kampala,respiratory,2004,Uganda,,2004-12-01,sputum,Homo sapiens,Mycobacterium tuberculosis,PRJEB2424,Wellcome Sanger Institute;SC
ERR038738,SAMEA787741,Uganda,Kampala,respiratory,2004,Uganda,,2004-12-01,sputum,Homo sapiens,Mycobacterium tuberculosis,PRJEB2424,Wellcome Sanger Institute;SC
ERR038739,SAMEA787754,Uganda,Kampala,respiratory,2004,Uganda,,2004-12-01,sputum,Homo sapiens,Mycobacterium tuberculosis,PRJEB2424,Wellcome Sanger Institute;SC
ERR038740,SAMEA787708,Uganda,Kampala,respiratory,2004,Uganda,,2004-07-01,sputum,Homo sapiens,Mycobacterium tuberculosis,PRJEB2424,Wellcome Sanger Institute;SC
ERR038741,SAMEA787707,Uganda,Kampala,respiratory,2005,Uganda,,2005-05-01,sputum,Homo sapiens,Mycobacterium tuberculosis,PRJEB2424,Wellcome Sanger Institute;SC
ERR038742,SAMEA787704,Uganda,Kampala,respiratory,2005,Uganda,,2005-01-01,sputum,Homo sapiens,Mycobacterium tuberculosis,PRJEB2424,Wellcome Sanger Institute;SC
ERR038743,SAMEA787703,Uganda,Kampala,respiratory,2005,Uganda,,2005-02-01,sputum,Homo sapiens,Mycobacterium tuberculosis,PRJEB2424,Wellcome Sanger Institute;SC
ERR038744,SAMEA787702,Uganda,Kampala,respiratory,2004,Uganda,,2004-11-01,sputum,Homo sapiens,Mycobacterium tuberculosis,PRJEB2424,Wellcome Sanger Institute;SC
ERR038745,SAMEA787756,Uganda,Kampala,respiratory,2005,Uganda,,2005-04-01,sputum,Homo sapiens,Mycobacterium tuberculosis,PRJEB2424,Wellcome Sanger Institute;SC
ERR038746,SAMEA787752,Uganda,Kampala,respiratory,2005,Uganda,,2005-03-01,sputum,Homo sapiens,Mycobacterium tuberculosis,PRJEB2424,Wellcome Sanger Institute;SC
ERR038747,SAMEA787724,Uganda,Kampala,respiratory,2006,Uganda,,2006-02-01,sputum,Homo sapiens,Mycobacterium tuberculosis,PRJEB2424,Wellcome Sanger Institute;SC
ERR038748,SAMEA787715,Uganda,Kampala,respiratory,2005,Uganda,,2005-07-01,sputum,Homo sapiens,Mycobacterium tuberculosis,PRJEB2424,Wellcome Sanger Institute;SC
ERR038749,SAMEA787714,Uganda,Kampala,respiratory,2005,Uganda,,2005-08-01,sputum,Homo sapiens,Mycobacterium tuberculosis,PRJEB2424,Wellcome Sanger Institute;SC
ERR038750,SAMEA787729,Uganda,Kampala,respiratory,2005,Uganda,,2005-09-01,sputum,Homo sapiens,Mycobacterium tuberculosis,PRJEB2424,Wellcome Sanger Institute;SC
ERR038751,SAMEA787730,Uganda,Kampala,respiratory,2005,Uganda,,2005-11-01,sputum,Homo sapiens,Mycobacterium tuberculosis,PRJEB2424,Wellcome Sanger Institute;SC
ERR038752,SAMEA787727,Uganda,Kampala,respiratory,2006,Uganda,,2006-01-01,sputum,Homo sapiens,Mycobacterium tuberculosis,PRJEB2424,Wellcome Sanger Institute;SC
ERR038753,SAMEA787728,Uganda,Kampala,respiratory,2006,Uganda,,2006-01-01,sputum,Homo sapiens,Mycobacterium tuberculosis,PRJEB2424,Wellcome Sanger Institute;SC
ERR038754,SAMEA787725,Uganda,Kampala,respiratory,2006,Uganda,,2006-11-01,sputum,Homo sapiens,Mycobacterium tuberculosis,PRJEB2424,Wellcome Sanger Institute;SC
ERR038755,SAMEA787726,Uganda,Kampala,respiratory,2006,Uganda,,2006-04-01,sputum,Homo sapiens,Mycobacterium tuberculosis,PRJEB2424,Wellcome Sanger Institute;SC
ERR040101,SAMEA961599,United Kingdom,Midlands,,2007,United Kingdom,,2007,not known,Homo sapiens,Mycobacterium tuberculosis,PRJEB2221,Wellcome Sanger Institute;SC
ERR040105,SAMEA961603,United Kingdom,Midlands,,2003,United Kingdom,,2003,not known,Homo sapiens,Mycobacterium tuberculosis,PRJEB2221,Wellcome Sanger Institute;SC
ERR040112,SAMEA787711,Uganda,Kampala,respiratory,2003,Uganda,,2003-07-01,sputum,Homo sapiens,Mycobacterium tuberculosis,PRJEB2424,Wellcome Sanger Institute;SC
ERR040115,SAMEA787706,Uganda,Kampala,respiratory,2003,Uganda,,2003-10-01,sputum,Homo sapiens,Mycobacterium tuberculosis,PRJEB2424,Wellcome Sanger Institute;SC
ERR040118,SAMEA787744,Uganda,Kampala,respiratory,2003,Uganda,,2003-11-01,sputum,Homo sapiens,Mycobacterium tuberculosis,PRJEB2424,Wellcome Sanger Institute;SC
ERR040119,SAMEA787750,Uganda,Kampala,respiratory,2003,Uganda,,2003-11-01,sputum,Homo sapiens,Mycobacterium tuberculosis,PRJEB2424,Wellcome Sanger Institute;SC
